LOCATION,SUBURB,Reason Code,Audit Date,Start_Lat,Start_Lng,End_Lat,End_Lng
Abey Road,COBBLEBANK,BCD,2024-05-02 00:00:00,-37.7054939,144.5947869,-37.7054939,144.5947869
Acacia Street,GLENROY,BCD,2024-08-01 00:00:00,-37.7078483,144.924464,-37.7078483,144.924464
Adam Street,GOLDEN SQUARE,ACD,2024-10-01 00:00:00,-36.7759633,144.2737982,-36.7759633,144.2737982
Agar Road,CORONET BAY,BC,2024-09-01 00:00:00,-38.4347859,145.4467196,-38.4347859,145.4467196
Airport Drive,MELBOURNE AIRPORT,ABCD,T,-37.6929071,144.8661163,-37.6929071,144.8661163
Aitken Boulevard,ROXBURGH PARK,ABC,2024-08-01 00:00:00,-37.6242561,144.9149696,-37.6242561,144.9149696
Aitken Boulevard,CRAIGIEBURN,ABCD,2024-08-01 00:00:00,-37.594818,144.910151,-37.594818,144.910151
Aitken Street,ALEXANDRA,C,2024-04-01 00:00:00,-37.187826,145.7036064,-37.187826,145.7036064
Albert Road,WARRAGUL,ABC,T,-38.1623853,145.9492776,-38.1623853,145.9492776
Albert Road,SOUTH MELBOURNE,ABCD,2024-04-01 00:00:00,-37.837952,144.9659265,-37.837952,144.9659265
Albert Street,EAST MELBOURNE,A,2024-08-01 00:00:00,-37.8103042,144.9821742,-37.8103042,144.9821742
Albion Street,BRUNSWICK WEST,ABC,2024-08-01 00:00:00,-37.7579138,144.9385401,-37.7579138,144.9385401
Alexanders Road,MORWELL,BC,2024-02-01 00:00:00,-38.2176636,146.4442109,-38.2176636,146.4442109
Alexandra Street,GREENSBOROUGH,BD,2024-05-02 00:00:00,-37.7080738,145.1043457,-37.7080738,145.1043457
Alfred Street,HEIDELBERG HEIGHTS,ABCD,2024-04-01 00:00:00,-37.7505781,145.0528157,-37.7505781,145.0528157
Allan Street,KYABRAM,ABCD,2024-05-02 00:00:00,-36.3134942,145.0501017,-36.3134942,145.0501017
Allenby Avenue,RESERVOIR,C,2024-08-01 00:00:00,-37.7024893,145.0061859,-37.7024893,145.0061859
Allies Road,MYERS FLAT,AC,2024-10-01 00:00:00,-36.7242178,144.1939154,-36.7242178,144.1939154
Allingham Street,KANGAROO FLAT,BCD,2024-10-01 00:00:00,-36.7923623,144.2502916,-36.7923623,144.2502916
Alma Street,TOOTGAROOK,BC,2024-09-01 00:00:00,-38.3769873,144.8507403,-38.3769873,144.8507403
Ambrose Treacy Drive,BUNDOORA,BC,2024-08-01 00:00:00,-37.6895381,145.0713899,-37.6895381,145.0713899
Anakie Road,BELL PARK,BC,2024-08-01 00:00:00,-38.1036922,144.3329037,-38.1036922,144.3329037
Anderson Road,SUNSHINE,ABCD,2024-06-01 00:00:00,-37.7864179,144.8271889,-37.7864179,144.8271889
Anderson Road,FAWKNER,C,2024-08-01 00:00:00,-37.6956251,144.9671501,-37.6956251,144.9671501
Anderson Street,MELBOURNE,BCD,2024-08-01 00:00:00,-37.8161481,144.8861631,-37.7550217,145.3554783
Andersons Creek Road,DONCASTER EAST,ABCD,2024-06-01 00:00:00,-37.7647762,145.1723619,-37.7647762,145.1723619
Anzac Avenue,SEYMOUR,ABCD,T,-37.0310314,145.1470382,-37.0310314,145.1470382
Anzac Parade,BANDIANA,ABCD,2024-10-01 00:00:00,-36.1422411,146.9182376,-36.1422411,146.9182376
Anzac Road,TRAFALGAR,B,T,-38.2107527,146.157171,-38.2107527,146.157171
Apollo Road,TAYLORS LAKES,BC,2024-05-02 00:00:00,-37.7084722,144.7993015,-37.7084722,144.7993015
Ararat-Halls Gap Road,POMONAL,ABC,2024-10-01 00:00:00,-37.2160277,142.6509873,-37.2160277,142.6509873
Ararat-Halls Gap Road,JALLUKAR,AC,2024-10-01 00:00:00,-37.2379403,142.6954814,-37.2379403,142.6954814
Ararat-Halls Gap Road,MOYSTON,AC,2024-10-01 00:00:00,-37.2560008,142.7412728,-37.2560008,142.7412728
Arcadia Avenue,THE BASIN,ABCD,2024-07-01 00:00:00,-37.8564183,145.3048623,-37.8564183,145.3048623
Army Road,PAKENHAM,B,2024-04-01 00:00:00,-38.0483946,145.4997481,-38.0483946,145.4997481
Army Road,PAKENHAM UPPER,BC,2024-04-01 00:00:00,-38.0359153,145.4979831,-38.0359153,145.4979831
Arnot Street,BONNIE DOON,BCD,2024-04-01 00:00:00,-37.023873,145.8562106,-37.023873,145.8562106
Arthur Street,ST ALBANS,BCD,2024-06-01 00:00:00,-37.7350111,144.8042343,-37.7350111,144.8042343
Arthurs Creek Road,ARTHURS CREEK,ABC,2024-08-01 00:00:00,-37.5701833,145.1785567,-37.5701833,145.1785567
Arthurs Creek Road,YAN YEAN,AC,2024-08-01 00:00:00,-37.57129,145.1426895,-37.57129,145.1426895
Arthurs Seat Road,RED HILL,BCD,2024-09-01 00:00:00,-38.3689922,145.0042143,-38.3689922,145.0042143
Arundel Road,KEILOR,C,2024-05-02 00:00:00,-37.7031966,144.83306,-37.7031966,144.83306
Ascot Vale Road,ASCOT VALE,C,2024-08-01 00:00:00,-37.7773457,144.9231283,-37.7773457,144.9231283
Atherton Road,OAKLEIGH,ABCD,2024-06-01 00:00:00,-37.8996437,145.0963774,-37.8996437,145.0963774
Atkins Road,PAKENHAM,B,2024-04-01 00:00:00,-38.0698856,145.4879488,-38.0698856,145.4879488
Auburn Road,HAWTHORN,ABD,2024-06-01 00:00:00,-37.830327,145.0435616,-37.830327,145.0435616
Aughtie Drive,ALBERT PARK,BC,2024-06-01 00:00:00,-37.8468226,144.9662593,-37.8468226,144.9662593
Avenel Road,SEYMOUR,BC,2024-08-01 00:00:00,-37.0058067,145.1552529,-37.0058067,145.1552529
Avenel-Nagambie Rd,AVENEL,C,2024-08-01 00:00:00,-36.8716131,145.1899791,-36.8716131,145.1899791
Avenel-Nagambie Road,AVENEL,C,2024-08-01 00:00:00,-36.8716131,145.1899791,-36.8716131,145.1899791
Avenue of Honour,WOODEND NORTH,ACD,2024-05-02 00:00:00,-37.3308908,144.523722,-37.3308908,144.523722
Averys Road,EAGLEHAWK,ABCD,2024-10-01 00:00:00,-36.7167884,144.2723077,-36.7167884,144.2723077
Avondale Avenue,ST ALBANS,BC,2024-05-02 00:00:00,-37.7422698,144.8151424,-37.7422698,144.8151424
Axe Creek Road,AXE CREEK,C,2024-10-01 00:00:00,-36.8602318,144.3852876,-36.8602318,144.3852876
Bacchus Marsh Road,CORIO,ABCD,2023-09-01 00:00:00,-38.0659697,144.3585987,-38.0659697,144.3585987
Bacchus Marsh Road,LITTLE RIVER,ABCD,T,-37.9158787,144.3664659,-37.9158787,144.3664659
Back Beach Road,VENTNOR,A,2024-09-01 00:00:00,-38.4966439,145.2105927,-38.4966439,145.2105927
Back Eildon Road,THORNTON,C,2024-04-01 00:00:00,-37.2567088,145.8390188,-37.2567088,145.8390188
Back Porepunkah Road,POREPUNKAH,ABCD,2024-04-01 00:00:00,-36.7144446,146.9410959,-36.7144446,146.9410959
Bakers Road,NOBLE PARK NORTH,C,2024-08-01 00:00:00,-37.9489892,145.1972058,-37.9489892,145.1972058
Balcombe Road,BEAUMARIS,ABC,2024-03-01 00:00:00,-37.9781368,145.0390665,-37.9781368,145.0390665
Balcombe Road,MENTONE,AC,2024-06-01 00:00:00,-37.9808202,145.0611457,-37.9808202,145.0611457
Ballan Road,BATESFORD,ABC,2024-08-01 00:00:00,-37.8352102,144.5478439,-37.8352102,144.5478439
Ballan Road,WYNDHAM VALE,C,2023-08-01 00:00:00,-37.8671301,144.6069364,-37.8671301,144.6069364
Ballan-Daylesford Road,BUNDING,ABC,2024-08-01 00:00:00,-37.5375337,144.1783516,-37.5375337,144.1783516
Ballan-Daylesford Road,KORWEINGUBOORA,ABC,2024-08-01 00:00:00,-37.4441365,144.127726,-37.4441365,144.127726
Ballarat Road,MAIDSTONE,ABC,2024-04-01 00:00:00,-37.7840985,144.8719981,-37.7840985,144.8719981
Ballarat Road,DEER PARK,ABCD,2024-05-02 00:00:00,-37.7700726,144.77396,-37.7700726,144.77396
Ballarat Road,RAVENHALL,BC,2024-05-02 00:00:00,-37.7597439,144.7490092,-37.7597439,144.7490092
Ballarat Road,FOOTSCRAY,C,2023-08-01 00:00:00,-37.793124,144.895923,-37.793124,144.895923
Ballarat Road,HAMILTON,C,2024-10-01 00:00:00,-37.7435072,142.0483254,-37.7435072,142.0483254
Ballarat-Maryborough Road,DAISY HILL,ACD,2024-10-01 00:00:00,-37.1132517,143.7196998,-37.1132517,143.7196998
Ballarto Road,SKYE,ABC,2024-09-01 00:00:00,-38.1192688,145.2109165,-38.1192688,145.2109165
Ballarto Road,CARRUM DOWNS,C,2024-09-01 00:00:00,-38.1155804,145.1809322,-38.1155804,145.1809322
Balwyn Road,BALWYN,C,2024-05-02 00:00:00,-37.8093526,145.0820176,-37.8093526,145.0820176
Bambra Road,CAULFIELD SOUTH,C,2024-06-01 00:00:00,-37.8937635,145.0276836,-37.8937635,145.0276836
Banbury Road,RESERVOIR,BCD,2024-08-01 00:00:00,-37.7111763,144.9895977,-37.7111763,144.9895977
Bandiana Link,WODONGA,ABCD,2024-08-01 00:00:00,-36.1192992,146.909627,-36.1192992,146.909627
Bandiana Link Road,WODONGA,ABCD,2024-10-01 00:00:00,-36.1192992,146.909627,-36.1192992,146.909627
Bank Street,AVENEL,C,2024-08-01 00:00:00,-36.8897578,145.2257964,-36.8897578,145.2257964
Banksia Street,HEIDELBERG HEIGHTS,BC,2024-08-01 00:00:00,-37.7581102,145.0543118,-37.7581102,145.0543118
Banksia Street,IVANHOE,BCD,2024-08-01 00:00:00,-37.7574877,145.0487891,-37.7574877,145.0487891
Bannons Lane,YARRAMBAT,AC,2024-08-01 00:00:00,-37.6285892,145.1508812,-37.6285892,145.1508812
Banyule Road,VIEWBANK,ABCD,2024-08-01 00:00:00,-37.7418164,145.0960117,-37.7418164,145.0960117
Baranduda Boulevard,BARANDUDA,ABCD,2024-10-01 00:00:00,-36.1746565,146.9382245,-36.1746565,146.9382245
Baranduda Boulevard,LENEVA,ABCD,2024-10-01 00:00:00,-36.1694896,146.9115103,-36.1694896,146.9115103
